STUDY.ACCESSION	is_meta_analysis
GCST90025974	FALSE
GCST90025975	FALSE
GCST90025988	FALSE
GCST90025948	FALSE
GCST90025953	FALSE
GCST90025958	FALSE
GCST90025969	FALSE
GCST90020091	FALSE
GCST90020092	FALSE
GCST90020053	TRUE
GCST90027161	TRUE
GCST90018689	FALSE
GCST90018690	FALSE
GCST90018695	FALSE
GCST90018703	FALSE
GCST90018707	FALSE
GCST90018712	FALSE
GCST90018720	FALSE
GCST90018721	FALSE
GCST90018724	FALSE
GCST90018725	FALSE
GCST90018727	FALSE
GCST90018729	FALSE
GCST90018732	FALSE
GCST90018789	TRUE
GCST90018794	TRUE
GCST90018795	TRUE
GCST90018797	TRUE
GCST90018802	TRUE
GCST90018803	TRUE
GCST90018804	TRUE
GCST90018805	TRUE
GCST90018806	TRUE
GCST90018807	TRUE
GCST90018808	TRUE
GCST90018763	FALSE
GCST90018764	FALSE
GCST90018769	FALSE
GCST90018770	FALSE
GCST90018771	FALSE
GCST90018779	FALSE
GCST90018781	FALSE
GCST90018782	FALSE
GCST90018783	TRUE
GCST90018784	TRUE
GCST90018739	FALSE
GCST90018741	FALSE
GCST90018742	FALSE
GCST90018744	FALSE
GCST90018746	FALSE
GCST90018750	FALSE
GCST90018756	FALSE
GCST90018757	FALSE
GCST90018758	FALSE
GCST90018760	FALSE
GCST90018761	FALSE
GCST90018863	TRUE
GCST90018864	TRUE
GCST90018866	TRUE
GCST90018878	TRUE
GCST90018883	TRUE
GCST90018884	TRUE
GCST90018885	TRUE
GCST90018889	TRUE
GCST90018891	TRUE
GCST90018895	TRUE
GCST90018902	TRUE
GCST90018903	TRUE
GCST90018905	TRUE
GCST90018911	TRUE
GCST90018912	TRUE
GCST90018604	FALSE
GCST90018606	FALSE
GCST90018564	FALSE
GCST90018569	FALSE
GCST90018576	FALSE
GCST90018588	FALSE
GCST90018593	FALSE
GCST90018595	FALSE
GCST90018596	FALSE
GCST90018643	FALSE
GCST90018649	FALSE
GCST90018650	FALSE
GCST90018651	FALSE
GCST90018654	FALSE
GCST90018657	FALSE
GCST90018660	FALSE
GCST90018601	FALSE
GCST90018619	FALSE
GCST90018621	FALSE
GCST90018627	FALSE
GCST90018631	FALSE
GCST90018671	FALSE
GCST90018673	FALSE
GCST90018681	FALSE
GCST90018685	FALSE
GCST90018815	TRUE
GCST90018818	TRUE
GCST90018819	TRUE
GCST90018829	TRUE
GCST90018830	TRUE
GCST90018832	TRUE
GCST90018841	TRUE
GCST90018842	TRUE
GCST90018843	TRUE
GCST90018847	TRUE
GCST90018849	TRUE
GCST90018851	TRUE
GCST90018852	TRUE
GCST90018855	TRUE
GCST90018858	TRUE
GCST90018860	TRUE
GCST90018861	TRUE
GCST90018862	TRUE
GCST90018914	TRUE
GCST90018917	TRUE
GCST90018920	TRUE
GCST90018922	TRUE
GCST90018924	TRUE
GCST90018927	TRUE
GCST90018929	TRUE
GCST90018931	TRUE
GCST90018933	TRUE
GCST90018963	TRUE
GCST90018964	TRUE
GCST90018965	TRUE
GCST90018971	TRUE
GCST90018974	TRUE
GCST90018975	TRUE
GCST90018977	TRUE
GCST90018978	TRUE
GCST90018980	TRUE
GCST90018982	TRUE
GCST90018983	TRUE
GCST90018985	TRUE
GCST90018939	TRUE
GCST90018940	TRUE
GCST90018941	TRUE
GCST90018942	TRUE
GCST90018943	TRUE
GCST90018945	TRUE
GCST90018946	TRUE
GCST90018947	TRUE
GCST90018948	TRUE
GCST90018949	TRUE
GCST90018951	TRUE
GCST90018953	TRUE
GCST90018954	TRUE
GCST90018956	TRUE
GCST90018957	TRUE
GCST90018959	TRUE
GCST90018961	TRUE
GCST90018988	TRUE
GCST90018989	TRUE
GCST90018990	TRUE
GCST90018991	TRUE
GCST90018993	TRUE
GCST90018994	TRUE
GCST90018998	TRUE
GCST90032674	FALSE
